REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,New Brunswick,College,Full-time student,Upper secondary education,Other  [12],Male gender,Canadian students,63.0
2018/2019,New Brunswick,College,Full-time student,Upper secondary education,Other  [12],Male gender,International students,0.0
2018/2019,New Brunswick,College,Full-time student,Upper secondary education,Other  [12],Female gender,Canadian students,105.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Education [1],Male gender,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Education [1],Female gender,Canadian students,57.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Education [1],Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,42.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,84.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,6.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,9.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,9.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,9.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,255.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,International students,12.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,87.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,International students,39.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,294.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,30.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,33.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,12.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,9.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,840.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,30.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,66.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,12.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,0.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,9.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,51.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,249.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,International students,18.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,57.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,27.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Other  [12],Male gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Unclassified,Male gender,Canadian students,6.0
2018/2019,New Brunswick,College,Full-time student,Post-secondary non-tertiary education,Unclassified,Female gender,Canadian students,15.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Education [1],Male gender,Canadian students,6.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Education [1],Male gender,International students,0.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Education [1],Female gender,Canadian students,33.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Education [1],Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,111.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,18.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,162.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,15.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,45.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,114.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,International students,9.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,315.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,International students,123.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,390.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,International students,147.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Gender unknown,International students,0.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,Canadian students,15.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,International students,12.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,36.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,International students,9.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,231.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,156.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,54.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,45.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,516.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,141.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,96.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,18.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,99.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,51.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,54.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,International students,9.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,594.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,International students,24.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,147.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,15.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,84.0
2018/2019,New Brunswick,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,21.0
2018/2019,New Brunswick,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,6.0
2018/2019,New Brunswick,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,0.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,Canadian students,18.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,Canadian students,21.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,International students,3.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Gender unknown,Canadian students,24.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Male gender,Canadian students,6.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,Canadian students,6.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,International students,0.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,Canadian students,0.0
2018/2019,New Brunswick,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,Upper secondary education,Other  [12],Male gender,Canadian students,96.0
2018/2019,New Brunswick,College,Part-time student,Upper secondary education,Other  [12],Male gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Upper secondary education,Other  [12],Female gender,Canadian students,171.0
2018/2019,New Brunswick,College,Part-time student,Upper secondary education,Other  [12],Female gender,International students,0.0
2018/2019,New Brunswick,College,Part-time student,Upper secondary education,Other  [12],Gender unknown,Canadian students,12.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,69.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,12.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,24.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,9.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,0.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,15.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,0.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,30.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,30.0
2018/2019,New Brunswick,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Education [1],Female gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,15.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,12.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,24.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,0.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,21.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,33.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,0.0
2018/2019,New Brunswick,College,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,3.0
2018/2019,New Brunswick,College,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,0.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,Canadian students,135.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,International students,9.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,Canadian students,345.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,International students,6.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Gender unknown,Canadian students,15.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,Canadian students,6.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,Canadian students,15.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,21.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Gender unknown,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Male gender,Canadian students,177.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Male gender,International students,6.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,Canadian students,189.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,International students,6.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,Canadian students,3.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,International students,0.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,Canadian students,15.0
2018/2019,New Brunswick,College,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,International students,3.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,2982.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Education [1],Male gender,International students,33.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,10509.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Education [1],Female gender,International students,138.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,2106.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,336.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,2529.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,417.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,2469.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,783.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,4266.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,1419.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,5871.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,1293.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,14250.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,2160.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,15126.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,2541.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,19542.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,2955.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,2757.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,510.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,4752.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,822.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,2361.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,633.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,750.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,312.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,14418.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,2871.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,4461.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,1002.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,654.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,90.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,1023.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,177.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,2616.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,75.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,9354.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,282.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,162.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,3.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,225.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,6.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Other  [12],Male gender,Canadian students,1200.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Other  [12],Male gender,International students,318.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Other  [12],Female gender,Canadian students,1674.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Other  [12],Female gender,International students,609.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,Canadian students,39.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Unclassified,Male gender,International students,174.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,Canadian students,36.0
2018/2019,Quebec,University,Full-time student,Bachelor's or equivalent,Unclassified,Female gender,International students,210.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Education [1],Male gender,Canadian students,261.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Education [1],Male gender,International students,42.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Education [1],Female gender,Canadian students,750.0
2018/2019,Quebec,University,Full-time student,Master's or equivalent,Education [1],Female gender,International students,180.0
